video_title,average_completion_percent,median_completion_percent,views
 Calculations: Titrating Manganate Ion against Iron(II) Ion,61.1861111111111,71.1,72
 Calculations: Titrating Manganate Ion against Oxalic Acid,68.02857142857142,94.9,49
 Investment Decisions (A),90.34532374100719,100.0,139
ACC 101 (2023-10-18 15_58 GMT+1),5.65,5.65,2
ACC 203_Y2_01_01_A,93.08,100.0,55
ACC 203_Y2_01_01_B,91.44905660377358,100.0,53
ACC 203_Y2_01_02_A,90.01666666666667,100.0,42
ACC 203_Y2_01_02_B,94.59189189189189,100.0,37
ACC 203_Y2_01_03_A,95.53571428571429,100.0,42
ACC 203_Y2_01_03_B,94.2225,100.0,40
ACC 203_Y2_01_05,89.146875,100.0,32
ACC 203_Y2_01_06,89.81515151515151,100.0,33
ACC 203_Y2_01_08,78.27272727272727,100.0,33
ACC 203_Y2_01_09_A,89.36666666666666,100.0,30
ACC 203_Y2_01_09_B,85.27407407407408,100.0,27
ACC 203_Y2_01_10_A,99.47333333333333,100.0,15
ACC 203_Y2_01_10_B,96.34166666666665,100.0,12
ACC 203_Y2_01_11_A,85.62666666666668,100.0,15
ACC 203_Y2_01_11_B,89.94166666666666,100.0,12
ACC 206_Y2_02_09,87.72857142857143,100.0,7
ACC101LL_Y1_01_01,65.60437828371278,94.7,571
ACC101LL_Y1_01_02,73.34654088050316,100.0,477
ACC101LL_Y1_01_03,66.85742574257426,94.0,404
ACC101LL_Y1_01_04,67.82282282282283,93.5,333
ACC101LL_Y1_01_05,64.90825688073394,94.7,327
ACC101LL_Y1_01_06,60.276865671641794,85.7,268
ACC101LL_Y1_01_07,70.62657657657658,97.0,222
ACC101LL_Y1_01_08,71.94842767295597,96.0,159
ACC101LL_Y1_01_09,64.58546511627907,92.0,172
ACC101LL_Y1_01_10,58.06290322580645,75.4,124
ACC101LL_Y1_01_11,70.43471074380166,98.5,121
ACC101LL_Y1_01_12,67.80877192982456,93.25,114
ACC101LL_Y1_01_13,68.1719298245614,91.1,114
ACC101LL_Y1_01_14,53.275510204081634,49.5,98
ACC101LL_Y1_01_15,54.07974683544304,59.5,79
ACC101LL_Y1_01_16,56.76458333333333,74.4,48
ACC101LL_Y1_01_17,50.932653061224485,44.35,98
ACC101_Y1_01_01,90.87787610619468,100.0,791
ACC101_Y1_01_02,91.1651493598862,100.0,703
ACC101_Y1_01_03,84.6486268174475,100.0,619
ACC101_Y1_01_04,81.75398406374502,100.0,502
ACC101_Y1_01_05,83.72788259958071,100.0,477
ACC101_Y1_01_06,78.67966101694915,100.0,354
ACC101_Y1_01_07,86.40771929824561,100.0,285
ACC101_Y1_01_08,86.3926923076923,100.0,260
ACC101_Y1_01_09,75.99368421052633,100.0,285
